OID_,CID,avg_rain,water,vegetation,slope,rugged,productivity,geology,elevation,min_temp,aspect,rabbit,pig,temp_diff,lantana,land_clear,horse,habitat,grazing,goat,fox_den,flood,drought,dog,inapp_fire,cat_den,lat,long
778,0,67.6219025,1416.680054,3,1.2191401,146.0800018,0.48564,4,359.67099,10.4477997,5.6686201,0.46678,0.289927,0.276449,0.4845,0,0.669237,0.909568,0,0.166347,0.29009,3,1,0.731498,1,0.221808,-3711182.283,1756884.163
779,0,86.4083023,3009.110107,3,2.0718501,158.973999,0.496701,1,356.4580078,11.9300003,112.802002,0.318657,0.267239,0.349012,0.704228,0,0.526474,0.917546,1,0.0792361,0.178513,2,0,0.659516,1,0.183704,-3311715.844,1964746.574
780,0,57.6437988,0,6,7.6090498,468.5920105,0.373348,4,451.4989929,8.8722496,95.9733963,0.46175,0.536914,0.1692,0.0846449,0,0.236068,0.737916,1,0.262604,0.494103,0,0,0.424358,0,0.240551,-3459499.649,1760108.215
781,0,93.2923965,0,3,3.37518,307.6730042,0.517524,4,423.7009888,11.3410997,35.2998009,0.390099,0.254375,0.222424,0.704625,1,0.532819,0.777579,1,0.0968569,0.20814,1,0,0.692302,1,0.168164,-3227400.304,1986396.863
782,0,93.2384033,1008.169983,3,6.6417699,283.5310059,0.497787,4,300.276001,11.3320999,55.3904991,0.43189,0.446455,0.0476467,0.610211,1,0.663329,0.146298,2,0.086918,0.329241,1,1,0.748476,0,0.179464,-3656509.489,1812243.642
783,0,111.9160004,1418.800049,2,2.8171899,207.2830048,0.53467,4,388.5979919,11.8984003,48.3381996,0.345154,0.193815,0.226874,0.693345,0,0.537562,0.916672,0,0.0403307,0.172961,1,0,0.673237,0,0.167595,-3430489.272,1974467.085
784,0,72.5880966,0,5,2.60989,856.5839844,0.450138,4,391.7309875,9.1394196,175.3339996,0.3751,0.306334,0.683607,0.297329,0,0.376628,0.700066,0,0.0662652,0.278755,3,0,0.668272,1,0.194712,-3536298.71,1883845.78
785,0,63.3316994,0,3,3.4588101,393.8569946,0.43827,4,212.697998,9.2881098,120.427002,0.45766,0.334032,0.185309,0.148935,1,0.453829,0.779986,2,0.249001,0.233701,0,0,0.453915,0,0.216459,-3676503.385,1705187.731
786,0,92.4147034,3431.689941,1,3.9044001,245.3690033,0.583408,4,557.9710083,11.6717997,129.9230042,0.360722,0.395384,0.209042,0.551751,0,0.674883,0.930838,0,0.0975053,0.188123,1,2,0.713703,0,0.177506,-3254441.19,1989807.146
787,0,84.4695969,1000.090027,2,1.39691,89.1080017,0.475562,4,126.4260025,12.6073999,287.1589966,0.278937,0.295871,0.451665,0.542576,1,0.568993,0.756867,2,0.0725789,0.232498,5,0,0.604918,1,0.195598,-3321676.529,1973989.664
788,0,83.1371994,2420.800049,5,10.5198002,526.0390015,0.538811,1,380.4179993,12.2959003,308.480011,0.184077,0.145227,0.205243,0.699215,0,0.562783,0.912385,0,0.0769847,0.199982,1,0,0.634302,0,0.173057,-3238690.717,2008325.919
789,0,81.5902023,2422.179932,3,2.2310901,448.7749939,0.547451,4,1200.709961,8.2239103,90.6701965,0.472096,0.335422,0.266113,0.0434015,0,0.35839,0.906492,0,0.067355,0.372619,2,0,0.742657,1,0.192217,-3339780.999,1927639.766
790,0,128.352005,1416.319946,2,13.8162003,588.9539795,0.565075,4,470.0169983,10.7498999,206.6390076,0.409556,0.254447,0.239343,0.426013,0,0.623984,0.783243,0,0.212834,0.147982,4,2,0.688181,0,0.156851,-3645194.435,1825502.31
791,0,87.0945969,0,4,2.5000501,184.4109955,0.465446,4,154.6450043,12.3191004,106.3830032,0.314808,0.307849,0.397521,0.512862,0,0.566861,0.744216,1,0.0965702,0.247808,1,0,0.623838,0,0.19365,-3293735.678,1967753.758
792,0,67.7453995,0,3,2.4494801,660.2540283,0.512951,4,466.82901,8.7994299,330.0429993,0.508431,0.371621,0.171159,0.070485,0,0.545509,0.91592,0,0.259194,0.355436,1,2,0.705061,1,0.221388,-3693773.339,1711093.154
793,0,70.6893005,1441.199951,3,7.3896499,387.6830139,0.481385,4,457.9100037,9.5626898,86.5641022,0.520846,0.306545,0.372578,0.188577,0,0.563608,0.933336,0,0.262824,0.274637,0,4,0.731799,1,0.218688,-3853764.359,1685801.088
